n,trial,matrix_seed,partial_growth,complete_growth
16,1,16002010,1.8285706389800773,1.304445811141263
16,2,16002011,2.3156887790742036,1.0713411393439813
16,3,16002012,1.4267498574081399,1.3509669163747908
16,4,16002013,1.894423506620805,1.1859401921677741
16,5,16002014,1.99064561603194,1.3217846517812168
16,6,16002015,1.4971279813686218,1.1591442488014714
16,7,16002016,2.0541321403922934,1.3587272743035446
16,8,16002017,2.539411221166164,1.1065694313247199
16,9,16002018,1.197142018929884,1.1425337772214592
16,10,16002019,2.0578175245819246,1.1614105109731312
16,11,16002020,2.61788726598264,1.4695964872945964
16,12,16002021,1.5842204743902335,1.0
16,13,16002022,1.7385143418756857,1.4159318203082505
16,14,16002023,1.7840061115707253,1.1002595844004452
16,15,16002024,2.187486595110061,1.1819554002104216
16,16,16002025,2.759596082309828,1.300656747109648
16,17,16002026,1.8519813339367632,1.0438664856532125
16,18,16002027,2.7456907191586564,1.2489435208802964
16,19,16002028,2.1298423859714446,1.3572968629086801
16,20,16002029,1.916013536262078,1.3516933082820217
32,1,32002010,2.5320921470502973,1.3429720872614557
32,2,32002011,3.1518172148761874,1.3982826499342582
32,3,32002012,2.6820422327150175,1.309210603793316
32,4,32002013,3.4162919277036377,1.578511693378892
32,5,32002014,3.002319420758194,1.8178732768757513
32,6,32002015,2.468416522331765,1.522596122552961
32,7,32002016,3.028213693525068,1.5950814192491294
32,8,32002017,3.0251210016252132,1.5469196289463276
32,9,32002018,3.943606386657205,1.6940363874473023
32,10,32002019,2.572000817538635,1.3248978562637324
32,11,32002020,3.0132813248290855,1.6933964912188277
32,12,32002021,3.6598595094992517,1.3616432197473987
32,13,32002022,3.1546548855570453,1.6762209073138277
32,14,32002023,2.5331273637443887,1.2789658204547656
32,15,32002024,2.5421910657307296,1.1527621053852362
32,16,32002025,2.678472353489278,1.3876124608628593
32,17,32002026,2.885923299318138,1.6433185395098762
32,18,32002027,2.920326683515055,1.5800190766382924
32,19,32002028,2.4604230171374333,1.3639307106374556
32,20,32002029,3.2101829167682485,1.4317334701327435
64,1,64002010,4.079580287287628,1.9570731557867804
64,2,64002011,4.950319680007965,2.2076592842587
64,3,64002012,3.852688420537022,1.567371672513507
64,4,64002013,4.066768779888583,2.050205748972702
64,5,64002014,3.389991805922776,1.853236348883717
64,6,64002015,2.6275430188568496,1.4465404507546589
64,7,64002016,3.5213730892625805,1.6496753896342777
64,8,64002017,3.3854302218029275,1.9707372500193314
64,9,64002018,6.11089633404157,1.811005031651191
64,10,64002019,4.169405844314869,1.78055444191937
64,11,64002020,3.4160210305992043,1.8600441068185787
64,12,64002021,3.8416425248656054,1.9662025570900576
64,13,64002022,3.4897471272437506,1.8148393836284773
64,14,64002023,3.5102068022397703,1.8149772368691994
64,15,64002024,4.6997092865461125,1.6413088838404972
64,16,64002025,4.496877471708358,1.8858375781613173
64,17,64002026,3.160119668221969,2.0452734959663528
64,18,64002027,5.355678900264389,2.128147943541241
64,19,64002028,3.3865445682274142,1.9416019749282378
64,20,64002029,5.457604848073877,2.004067484683672
